SegmentID,SegmentType,Symbol,StationID,Code,Arrival,Departure,Minutes
1861639,I,XINBANV902,46,HERON ,10/5/17 5:29,10/5/17 5:32,3
1861650,I,QSSEALT604,15,BELGRA,10/5/17 10:00,10/5/17 10:02,2
1861651,I,QSSEALT604,60,EDDY  ,10/5/17 0:22,10/5/17 0:25,3
1861659,I,QSSEALT604,70,JENS  ,10/5/17 5:11,10/5/17 5:13,2
1862427,I,GMTEVAW903,89,WSTEND,10/5/17 7:32,10/5/17 7:37,5
1862448,I,GMTEVAW903,75,MUIR  ,10/5/17 7:18,10/5/17 7:27,9
1862456,I,GMTEVAW903,86,WINSTN,10/5/17 11:18,10/5/17 11:27,9
1862484,I,GMTEVAW903,40,LOGAMT,10/5/17 8:32,10/5/17 8:34,2
1862501,I,GMTEVAW903,13,CRAVER,10/5/17 1:48,10/5/17 1:50,2
1862507,I,GMTEVAW903,15,BELGRA,10/5/17 8:11,10/5/17 8:14,3
1862529,I,GMTEVAW903,17,MANHMT,10/5/17 8:26,10/5/17 8:27,1
1862530,I,GMTEVAW903,16,BOZEMA,10/5/17 7:57,10/5/17 8:00,3
1862541,I,GMTEVAW903,78,RAPIDS,10/5/17 1:24,10/5/17 1:27,3
1862601,I,GMTEVAW903,23,TOWNMT,10/5/17 10:00,10/5/17 10:34,34
1862608,I,GMTEVAW903,77,QUEBEC,10/5/17 2:09,10/5/17 2:12,3
1862610,I,GMTEVAW903,54,CARNEY,10/5/17 3:00,10/5/17 4:06,66
1862640,I,GMTEVAW903,73,LOUISV,10/5/17 11:40,10/5/17 12:01,21
1862647,I,GMTEVAW903,66,GREYCL,10/5/17 2:21,10/5/17 2:24,3
1862648,I,GMTEVAW903,63,ELTON ,10/5/17 4:25,10/5/17 4:29,4
1862655,I,GMTEVAW903,34,TOSTON,10/5/17 9:48,10/5/17 9:50,2
1862656,I,GMTEVAW903,12,COLUMT,10/5/17 1:36,10/5/17 1:38,2
1862658,I,GMTEVAW903,56,CLRKST,10/5/17 9:01,10/5/17 9:14,13
1862691,I,GMTEVAW903,14,REEPTM,10/5/17 2:00,10/5/17 2:03,3
1862698,I,GMTEVAW903,72,LOMBRD,10/5/17 9:26,10/5/17 9:30,4
1862724,I,GMTEVAW903,18,BIGTIM,10/5/17 2:40,10/5/17 2:46,6
1862751,I,GCBHKAL901,14,REEPTM,10/5/17 14:38,10/5/17 14:41,3
1862784,I,GCBHKAL901,66,GREYCL,10/5/17 14:56,10/5/17 14:59,3
1862790,I,GCBHKAL901,12,COLUMT,10/5/17 13:59,10/5/17 14:16,17
1862884,I,GCBHKAL901,78,RAPIDS,10/5/17 13:21,10/5/17 13:48,27
1862914,I,GCBHKAL901,13,CRAVER,10/5/17 14:27,10/5/17 14:29,2
1862915,I,GCBHKAL901,77,QUEBEC,10/5/17 14:46,10/5/17 14:48,2
1862946,I,GCVNKAL903,12,COLUMT,10/5/17 15:17,10/5/17 15:22,5
1862979,I,GCVNKAL903,78,RAPIDS,10/5/17 15:04,10/5/17 15:07,3
1863264,I,HPASLAU103,21,DRUMMT,10/4/17 15:45,10/4/17 15:48,3
1863266,I,HPASLAU103,17,MANHMT,10/5/17 1:55,10/5/17 1:56,1
1863267,I,HPASLAU103,51,AVON  ,10/4/17 21:09,10/4/17 21:11,2
1863268,I,HPASLAU103,89,WSTEND,10/5/17 2:56,10/5/17 3:02,6
1863269,I,HPASLAU103,7,PARAMT,10/4/17 9:54,10/4/17 10:00,6
1863270,I,HPASLAU103,22,GARRMT,10/4/17 18:53,10/4/17 20:49,116
1863271,I,HPASLAU103,34,TOSTON,10/5/17 0:39,10/5/17 0:41,2
1863272,I,HPASLAU103,16,BOZEMA,10/5/17 2:32,10/5/17 2:37,5
1863273,I,HPASLAU103,12,COLUMT,10/5/17 5:11,10/5/17 5:28,17
1863274,I,HPASLAU103,27,PLAIMT,10/4/17 9:46,10/4/17 9:49,3
1863275,I,HPASLAU103,40,LOGAMT,10/5/17 1:45,10/5/17 1:49,4
1863276,I,HPASLAU103,76,NIMROD,10/4/17 15:22,10/4/17 15:24,2
1863277,I,HPASLAU103,31,THOFAL,10/4/17 9:02,10/4/17 9:05,3
1863279,I,HPASLAU103,50,AUSTIN,10/4/17 21:56,10/4/17 22:07,11
1863282,I,HPASLAU103,47,BLOSSB,10/4/17 21:36,10/4/17 21:40,4
1863284,I,HPASLAU103,46,HERON ,10/4/17 7:59,10/4/17 8:01,2
1863289,I,HPASLAU103,48,ELLIST,10/4/17 21:20,10/4/17 21:23,3
1863290,I,HPASLAU103,36,HOPEID,10/4/17 5:44,10/4/17 6:31,47
1863292,I,HPASLAU103,75,MUIR  ,10/5/17 3:05,10/5/17 3:08,3
1863293,I,HPASLAU103,70,JENS  ,10/4/17 16:01,10/4/17 18:37,156
1863294,I,HPASLAU103,15,BELGRA,10/5/17 2:13,10/5/17 2:17,4
1863295,I,HPASLAU103,43,CHILDS,10/4/17 8:43,10/4/17 8:45,2
1863296,I,HPASLAU103,55,CLINTN,10/4/17 15:05,10/4/17 15:09,4
1863297,I,HPASLAU103,86,WINSTN,10/5/17 0:05,10/5/17 0:07,2
1863298,I,HPASLAU103,72,LOMBRD,10/5/17 0:56,10/5/17 1:07,11
